t,equity,drawdown
0,1.00643055347283,-9.936496070395151e-13
1,1.005889595429613,-0.0005375016113629005
2,1.006055423189078,-0.00037273340267474087
3,1.0041913350405538,-0.0022249110239621617
4,1.0108708555133354,-9.89319737243477e-13
5,1.0119867771165916,-9.882095142188518e-13
6,1.0117243154886104,-0.00025935282447941965
7,1.012000800890338,-9.882095142188518e-13
8,1.0112319223188067,-0.0007597608340371709
9,1.0149674808140356,-9.853229343548264e-13
10,1.0153446276002382,-9.849898674474389e-13
11,1.0163653777811001,-9.839906667252762e-13
12,1.0174542646803593,-9.82880443700651e-13
13,1.016122811380376,-0.001308612433208789
14,1.012823196973838,-0.0045516224839567965
15,1.0194596323284149,-9.809930645587883e-13
16,1.0185078271474959,-0.0009336369501401487
17,1.0151996016456446,-0.004178714437212516
18,1.0157766211277004,-0.0036127092087981927
19,1.0177246679234708,-0.0017018470873435554
20,1.0189557706162011,-0.000494243908473857
21,1.018930937017306,-0.00051860347908117
22,1.0187158202009252,-0.0007296141062399508
23,1.0183766540080288,-0.0010623062326770016
24,1.0190184442332677,-0.0004327666168979505
25,1.0193790875278117,-7.900734766630446e-05
26,1.0166113981235576,-0.002793866589253069
27,1.0165603200770787,-0.0028439696486181054
28,1.0158045412072938,-0.003585322072801933
29,1.0172725048720381,-0.0021453791675687395
30,1.0172199191185907,-0.0021969611545153978
31,1.0188079858631118,-0.0006392077191071932
32,1.0169887634395491,-0.0024237044915844663
33,1.0179212716446446,-0.0015089961740371027
34,1.02046462253539,-9.799938638366257e-13
35,1.0198940967133074,-0.0005590843724346817
36,1.0158082762428267,-0.004562966898342791
37,1.0115380486114731,-0.008747558443260584
38,1.0202268450444016,-0.00023300904973788672
39,1.0205439242946412,-9.799938638366257e-13
40,1.021015490219308,-9.795497746267756e-13
41,1.0217852203911333,-9.78772618509538e-13
42,1.0237339792077094,-9.768852393676752e-13
43,1.020864036643905,-0.0028034065715223377
44,1.0314983057015863,-9.695577674051492e-13
45,1.0292343187109119,-0.0021948528457663707
46,1.0272888625998624,-0.004080901616078547
47,1.0284661379704225,-0.002939576066582683
48,1.0289247347297676,-0.002494983228368719
49,1.0310130979428653,-0.00047039123286829465
50,1.0295653261494653,-0.0018739532022832295
51,1.0273951426595476,-0.003977866973076671
52,1.0246350869275884,-0.006653640376387382
53,1.0231292486293542,-0.008113495705193374
54,1.0293596865962245,-0.0020733132517413155
55,1.0286223367894705,-0.002788147006365649
56,1.0268796882755151,-0.004477581205453718
57,1.0308173426690261,-0.000660168833817365
58,1.0331329317153017,-9.68003455170674e-13
59,1.0336372013921291,-9.67559365960824e-13
60,1.032212188429264,-0.0013786393929557939
61,1.0306011054045552,-0.002937293650501327
62,1.030212597997221,-0.003313158031940544
63,1.0303591548956132,-0.0031713704703137946
64,1.0299865627893052,-0.0035318374753768866
65,1.032977693010491,-0.0006380462910480222
66,1.0323971569074641,-0.0011996902626896233
67,1.0328683795395073,-0.0007438024217643058
68,1.0340206809209076,-9.672262990534364e-13
69,1.0336294134302249,-0.0003783942612578528
70,1.033275178058663,-0.0007209748093045532
71,1.0339242708857477,-9.32380153886303e-05
72,1.0355680609751234,-9.657830091214237e-13
73,1.037223083342411,-9.642286968869485e-13
74,1.0370212912836678,-0.00019455029779402722
75,1.0373400756460598,-9.64117674584486e-13
76,1.0368983067459832,-0.00042586699525815064
77,1.0382809816551883,-9.632294961647858e-13
78,1.0395411121434972,-9.620082508376981e-13
79,1.037793493800103,-0.0016811440394012278
80,1.0358717279666239,-0.003529811505293634
81,1.0435314889358644,-9.583445148564351e-13
82,1.042814506504195,-0.0006870731168832078
83,1.0442984736927017,-9.5767838104166e-13
84,1.0423951197557162,-0.0018226148806417264
85,1.0496018581964537,-9.527933997333093e-13
86,1.0495527794098485,-4.675943284782047e-05
87,1.0464611621475057,-0.0029922737135219535
88,1.045989621931892,-0.0034415299833455704
89,1.0469396167225389,-0.002536429841584864
90,1.0472984837693384,-0.0021945220562691325
91,1.0437460992833734,-0.00557902872250704
92,1.0425415855472442,-0.006726619808328671
93,1.047572082509662,-0.0019338529861958609
94,1.0481207247048074,-0.0014111384055569554
95,1.0451057475859913,-0.004283634386074708
96,1.0414061230016876,-0.007808422909846291
97,1.0394109185688638,-0.009709338401983736
98,1.0437472504429681,-0.005577931964164118
99,1.0433149355357134,-0.005989816626789546
100,1.04017180930125,-0.008984405679691387
101,1.031996502330338,-0.016773365757326908
102,1.0374414838998756,-0.011585701952225969
103,1.0378155461966392,-0.011229317010791107
104,1.0365285198324965,-0.012455521360650867
105,1.0341406444877799,-0.014730551007432813
106,1.0364646184942288,-0.01251640286325939
107,1.0390841209466264,-0.010020692292685318
108,1.039588327750273,-0.009540313185399163
109,1.0388053952722023,-0.010286246009313382
110,1.037344837340112,-0.01167778120971652
111,1.0360405228829275,-0.012920456655646562
112,1.0388870547688929,-0.010208445559502066
113,1.0382555202453823,-0.01081013516073348
114,1.0342052670059108,-0.014668982406323638
115,1.0405013333252635,-0.00867045423092061
116,1.0396281346469556,-0.009502387474453089
117,1.0375466593470537,-0.01148549686364242
118,1.037298840595104,-0.011721604250471196
119,1.034422216272294,-0.014462285681571374
120,1.038139181348287,-0.010920976139326188
121,1.0373044892781602,-0.011716222511660379
122,1.0365845192346195,-0.012402168366193456
123,1.0382905479846865,-0.010776762754777236
124,1.0385234596285695,-0.010554857999117817
125,1.0385147826987686,-0.010563124876441843
126,1.041399126698118,-0.007815088583611018
127,1.0413307711522117,-0.007880213797874291
128,1.041856844150857,-0.007379001843515809
129,1.0407293620582345,-0.008453201630622575
130,1.0406331967198783,-0.008544822408163344
131,1.0396193749189278,-0.009510733237143465
132,1.040998003258127,-0.008197255818604199
133,1.038769944875195,-0.010320021099106125
134,1.0376089693199024,-0.011426131522049188
135,1.0406342477248145,-0.008543821071391733
136,1.0409034770241319,-0.008287314952224012
137,1.0405267814246784,-0.008646208752298379
138,1.0384775136379922,-0.010598632683983644
139,1.044795008486878,-0.004579688643873814
140,1.0444785755492365,-0.004881167662008301
141,1.0437951438044317,-0.005532301936845174
142,1.040455605024815,-0.008714021513210879
143,1.0384028064557669,-0.010669809370307037
144,1.045137367371702,-0.004253508881376211
145,1.0445987832194203,-0.004766640739971129
146,1.0419366846795317,-0.007302934401322347
147,1.0471730195188773,-0.002314057144246706
148,1.0469718100034717,-0.002505757943777609
149,1.0505330067365013,-9.520162436160717e-13
150,1.0492130780261333,-0.0012564371637091565
151,1.0506069368614355,-9.519052213136092e-13
152,1.0510587071599635,-9.514611321037592e-13
153,1.0487683203018974,-0.0021791236240769063
154,1.0472272933880304,-0.0036452899793602
155,1.0455416111973934,-0.005249084495453693
156,1.0416565824865605,-0.008945384887014907
157,1.0499636618637573,-0.0010418497936848237
158,1.0490848385202953,-0.0018779813413086766
159,1.0540723158495189,-9.487965968446588e-13
160,1.05350615828095,-0.000537114542385253
161,1.0541070846773892,-9.487965968446588e-13
162,1.054086992961012,-1.9060413945948262e-05
163,1.0523654653088845,-0.001652222430547634
164,1.051458273045924,-0.0025128487142968003
165,1.0498022837314642,-0.0040838364616803124
166,1.0483025808497275,-0.00550655992453819
167,1.0463222332427227,-0.007385256724692146
168,1.0468686559314275,-0.006866881792346846
169,1.0456037922208357,-0.008066820327033541
170,1.0464830436217645,-0.00723270070701687
171,1.0480562235398208,-0.00574027176794345
172,1.049492404400909,-0.004377809754393391
173,1.0505863382800988,-0.00334002726047955
174,1.048608621359707,-0.005216228406585421
175,1.0537751648179141,-0.00031488248708289035
176,1.0516256356355331,-0.002354076809580774
177,1.0550395934859198,-9.479084184249587e-13
178,1.0540727334117352,-0.0009164206548771814
179,1.0535774978899053,-0.00138582059482939
180,1.05422593512702,-0.0007712112084918843
181,1.0553098330444037,-9.476863738200336e-13
182,1.0549897722682662,-0.0003032860749662136
183,1.052639158978419,-0.002530701395321855
184,1.051190617210613,-0.003903323655104929
185,1.0484760785823115,-0.006475590626661254
186,1.050865601311628,-0.0042113051490770825
187,1.0507559987294586,-0.004315163351414797
188,1.0511628368302282,-0.003929648038252687
189,1.0522829071300956,-0.002868281731605915
190,1.0520429532076228,-0.003095659431461506
191,1.0508979548309358,-0.004180647309744323
192,1.053039000563813,-0.002151815903238208
193,1.0527141628202992,-0.0024596285790440264
194,1.0523664755052908,-0.0027890932576825067
195,1.0504570819060113,-0.004598413648234989
196,1.0498733492898789,-0.00515155226009445
197,1.0481689918994408,-0.006766582592484749
198,1.0462784036973347,-0.0085580831953459
199,1.046278604023416,-0.008557893368552838
200,1.0476298625462295,-0.007277455642587527
201,1.0468905983095815,-0.007977974308764013
202,1.0471434331167955,-0.007738390824088004
203,1.0488046006486078,-0.006164286727077362
204,1.048825848751224,-0.006144152258553581
205,1.047757071457451,-0.00715691387633266
206,1.04435416775823,-0.010381468024000196
207,1.0432163546790083,-0.011459647193370892
208,1.0478509636059667,-0.007067942708268271
209,1.047607210787161,-0.007298920200539238
210,1.0500806251479757,-0.004955139934911479
211,1.0484617989860692,-0.006489121815128618
212,1.0455567808035122,-0.009241885118938309
213,1.0495269543233763,-0.005479792323491717
214,1.0489194169045664,-0.00605548810475498
215,1.0493779297941737,-0.00562100632959317
216,1.0492889195147,-0.005705351492204747
217,1.0494036968862521,-0.00559658971631849
218,1.0499665094115065,-0.005063274752664437
219,1.0485712345987566,-0.006385421831237026
220,1.0489647870696472,-0.006012495834939902
221,1.0490169846604132,-0.005963033971578602
222,1.049849745538568,-0.005173918915432729
223,1.0523021677061586,-0.0028500306214012117
224,1.0540984289303863,-0.0011479132261297265
225,1.0535125143252626,-0.0017031194667773697
226,1.052582262983628,-0.0025846154147022293
227,1.0521294165470985,-0.0030137277212014535
228,1.0534735630024912,-0.001740029312162772
229,1.051597873525906,-0.003517412046456503
230,1.0500916351280292,-0.0049447069988118875
231,1.053173723506835,-0.002024153923027905
232,1.0523793412946063,-0.002776901777121421
233,1.055169099868008,-0.00013335721225071762
234,1.0557530186837387,-9.472422846101836e-13
235,1.0553545175745689,-0.00037745675656830624
236,1.0577892737351067,-9.454659277707833e-13
237,1.0573419636039023,-0.0004228726300320451
238,1.0544230165789708,-0.003182351381997295
239,1.0569056477798577,-0.0008353515943001488
240,1.0555577815564245,-0.0021095810243949575
241,1.05584622409705,-0.0018368967121341617
242,1.0541865826444379,-0.0034058684287316954
243,1.0540663019624275,-0.003519577921725192
244,1.054700698949991,-0.0029198393884322105
245,1.0557802121479785,-0.0018993022882830557
246,1.0544385642540528,-0.0031676531094130267
247,1.0542113287089598,-0.003382474294251092
248,1.0552418994512482,-0.0024082058195402656
249,1.0561337102832615,-0.0015651165066155048
250,1.0566732030030257,-0.0010550974194880602
251,1.0582652317124226,-9.450218385609332e-13
252,1.0595611360366266,-9.43911615536308e-13
253,1.0578857325928024,-0.0015812239500305747
254,1.059686236727109,-9.438005932338456e-13
